drug_name,active_ingredient,category
HYPERHEP B  1 ML (MINIMUM 220 IU/ML HEPATIT B ETKINLIğI) IM ENJEKSIYON IçIN çöZELTI  IçEREN KULLANıMA HAZıR ENJEKTöR,HEPATİT B INSAN IMMUNGLOBULIN,Diğer / Sınıflandırılamadı
CİPRONATİN 750 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik
BOTOX 100 U ENJEKSİYONLUK ÇÖZELTİ İÇİN LİYOFİLİZE TOZ,ONABOTULİNUMTOKSİNA (BOTULİNUM TOKSİNİ),Diğer / Sınıflandırılamadı
ADMİRAZ 1 MG FILM KAPLI TABLET,SIPONIMOD FUMARIK ASIT,Diğer / Sınıflandırılamadı
"HİRONİL % 0,445 JEL",MUKOPOLİSAKKARİT POLİSÜLFAT (KONDROİTİN POLİSÜLFAT),Diğer / Sınıflandırılamadı
DİAMOND 62.5 MG FILM KAPLı TABLET,BOSENTAN MONOHİDRAT,Diğer / Sınıflandırılamadı
GLIVANTA 50 MG TABLET,VILDAGLIPTIN,Diğer / Sınıflandırılamadı
DİAMOND 125 MG FILM KAPLı TABLET,BOSENTAN MONOHİDRAT,Diğer / Sınıflandırılamadı
RİFCAP 100 MG / 5 ML ORAL SüSPANSIYON,RIFAMPISIN,Diğer / Sınıflandırılamadı
TRODELVY 200 MG İNFÜZYONLUK ÇÖZELTİ KONSANTRESİ İÇİN TOZ,SACİTUZUMAB GOVİTEKAN,Diğer / Sınıflandırılamadı
NİMENRİX 0.5 ML İM ENJEKSİYON İÇİN TOZ İÇEREN FLAKON VE ÇÖZÜCÜ  İÇEREN  KULLANIMA  HAZIR  ENJEKTÖR,"NEISSERIA MENINGITIDIS SEROGRUP A, C, W-135, Y POLISAKKARITI, TETANOZ TOKSOİDİ KONJUGE",Diğer / Sınıflandırılamadı
PIRFECT 400 MG FILM KAPLI TABLET,PIRFENIDON,Diğer / Sınıflandırılamadı
UVERA 5 IU/ML I.M./I.V. ENJEKSIYONLUK ÇöZELTI,OKSITOSIN,Diğer / Sınıflandırılamadı
VEFARMA MELATONIN 2 MG UZATıLMış SALıMLı TABLET,MELATONIN,Diğer / Sınıflandırılamadı
PECTUNA 420 MG/14 ML İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,PERTUZUMAB,Diğer / Sınıflandırılamadı
FLAMAKS FORT 500 MG TABLET,NAPROKSEN,Ağrı Kesici
FLAMAKS 250 MG TABLET,NAPROKSEN,Ağrı Kesici
PARSETAN 10 MG/ML IV İNFÜZYONLUK ÇÖZELTİ,PARASETAMOL,Ağrı Kesici
SODYUM İYODüR (I-131) CURIUM 37-7400 MBQ SERT KAPSüL,SODYUM IYODüR-131 (I-131),Diğer / Sınıflandırılamadı
OLEDRO HOT TEK DOZLUK EFERVESAN GRANÜL İÇEREN POŞET,"PARASETAMOL, FENİLEFRİN HCL, KLORFENİRAMİN MALEAT, OKSOLAMİN SİTRAT",Ağrı Kesici
VOTRYXE 125 MCG TABLET,VOTRYXE 125 MCG TABLET,Diğer / Sınıflandırılamadı
VOTRYXE 150 MCG TABLET,LEVOTIROKSIN SODYUM,Diğer / Sınıflandırılamadı
VOTRYXE 175 MCG TABLET,LEVOTIROKSIN SODYUM,Diğer / Sınıflandırılamadı
GLOSFATE 216 MG/ML İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,SODYUM GLISEROFOSFAT PENTAHIDRAT,Diğer / Sınıflandırılamadı
VOTRYXE 75 MCG TABLET,LEVOTIROKSIN SODYUM,Diğer / Sınıflandırılamadı
VOTRYXE 100 MCG TABLET,LEVOTIROKSIN SODYUM,Diğer / Sınıflandırılamadı
"FRONTAİR 100 MCG/6 MCG AEROSOL İNHALASYONU, ÇÖZELTİ","BEKLOMETAZON DİPROPİYONAT, FORMOTEROL",Solunum
VOTRYXE 25 MCG TABLET,LEVOTİROKSİN SODYUM,Diğer / Sınıflandırılamadı
VOTRYXE 50 MCG TABLET,LEVOTİROKSİN SODYUM,Diğer / Sınıflandırılamadı
İHTİYOL AYK FARMA % 10 MERHEM,İHTİYOL,Diğer / Sınıflandırılamadı
ZEDİPİN 8 MG FİLM KAPLI TABLET,BENİDİPİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
